Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2025-04-30T04:00:00.000Z,208.3917548983,212.6531808112,205.7731628059,211.5778656006,52286500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-01T04:00:00.000Z,208.1726964342,213.6289116487,207.9934696464,212.3943023682,57365700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-02T04:00:00.000Z,205.1956718801,206.0917754591,201.2827333488,204.4588928223,101010600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-05T04:00:00.000Z,202.2186538993,203.2143144006,197.3498746554,198.0269165039,69018500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-06T04:00:00.000Z,197.3498735756,199.7792724238,196.1650351547,197.6485595703,51216500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-07T04:00:00.000Z,198.3056878656,198.5745204381,192.4113798883,195.3983612061,68536700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-08T04:00:00.000Z,196.8619932642,199.1818840286,193.8351768673,196.6329956055,50478900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-09T04:00:00.000Z,198.1364492222,199.6697597827,196.6827781361,197.6684875488,36453900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-12T04:00:00.000Z,210.3299439902,210.6290368693,206.1227457381,210.1504821777,63775800,0.26,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-13T04:00:00.000Z,209.7915811887,212.752571893,208.3659268857,212.283996582,51909300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-14T04:00:00.000Z,211.7855090193,213.290937621,209.9411307948,211.6858215332,49325800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-15T04:00:00.000Z,210.3100190919,212.3139309113,208.9042930839,210.8085021973,45029500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-16T04:00:00.000Z,211.7157485243,211.9251181254,209.133609648,210.6190795898,54737900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-19T04:00:00.000Z,207.2792355057,208.8444644477,203.6402999375,208.1465911865,46140500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-20T04:00:00.000Z,207.0399620361,207.8375380121,204.4079719642,206.232421875,42496600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-21T04:00:00.000Z,204.5475559528,206.4118779018,200.1010951649,201.4768981934,59211800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-22T04:00:00.000Z,200.1010930441,202.1348974021,199.0941474444,200.7491149902,46742400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-23T04:00:00.000Z,193.0824147495,197.1001867488,192.8730603962,194.6775665283,78432900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-27T04:00:00.000Z,197.6983910953,200.1309909415,196.831020198,199.6026000977,56288500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-28T04:00:00.000Z,199.9814483725,202.114955453,199.2935392538,199.8119659424,45339700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-29T04:00:00.000Z,202.9623603391,203.1916582824,197.9077349132,199.3433685303,51396800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-05-30T04:00:00.000Z,198.7651407343,201.3472946799,196.1830020013,200.2406616211,70819900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-02T04:00:00.000Z,199.6723835926,201.5167770947,199.5128653541,201.0880737305,35423300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
